UID,FirstName,LastName,GamerTag,City,Age,GamerScore,State
278,Stacey,Augmon,staaug,Orlando,28,56,Florida
281,Scott,Williams,scowil,Dallas,39,100,Texas
283,Lindsey,Hunter,linhun,Chicago,21,25,Illinois
292,Anthony,Miller,antmil,Atlanta,27,0,Georgia
296,Rick,Fox,ricfox,Los Angeles,29,60,California
297,Alonzo,Mourning,alomou,Miami,14,80,Florida
299,Glenn,Robinson,glerob,Philadelphia,40,41,Pennsylvania
324,Anthony,Peeler,antpee,Washington,32,0,District of Columbia
339,Tom,Gugliotta,tomgug,Atlanta,14,60,Georgia
344,Dana,Barros,danbar,Boston,31,67,Massachusetts
348,Mitchell,Butler,mitbut,Washington,26,40,District of Columbia
349,Mark,Jackson,marjac,Houston,36,50,Texas
353,Darrell,Armstrong,dararm,Dallas,18,33,Texas
358,Anfernee,Hardaway,anfhar,New York,35,40,New York
363,Christian,Laettner,chrlae,Washington,24,75,District of Columbia
369,Charlie,Ward,chawar,New York,13,30,New York
383,Kendall,Gill,kengil,Milwaukee,28,38,Wisconsin
389,Toni,Kukoc,tonkuk,Milwaukee,29,43,Wisconsin
393,Rod,Strickland,rodstr,Orlando,38,20,Florida
397,Reggie,Miller,regmil,Indiana,15,29,Pennsylvania
399,Sean,Rooks,searoo,New Orleans,13,50,Louisiana
406,Shaquille,O'Neal,shao'n,Cleveland,43,46,Ohio
436,Juwan,Howard,juwhow,Miami,43,33,Florida
445,Wesley,Person,wesper,Portland,44,100,Oregon
448,Bo,Outlaw,boout,Memphis,37,83,Tennessee
452,Vin,Baker,vinbak,New York,29,50,New York
458,Howard,Eisley,howeis,New York,22,0,New York
468,Jon,Barry,jonbar,Denver,34,38,Colorado
469,Jamal,Mashburn,jammas,New Orleans,29,47,Louisiana
673,Alan,Henderson,alahen,Philadelphia,25,57,Pennsylvania
677,Eric,Williams,eriwil,Cleveland,15,11,Ohio
680,John,Amaechi,johama,Houston,42,60,Texas
682,Bob,Sura,bobsur,Detroit,21,25,Michigan
686,Antonio,McDyess,antmcd,San Antonio,27,75,Texas
688,Michael,Curry,miccur,Toronto,29,0,Ohio
689,Theo,Ratliff,therat,Atlanta,15,33,Georgia
692,Andrew,DeClercq,anddec,Orlando,20,0,Florida
693,Joe,Smith,joesmi,Chicago,35,50,Illinois
699,Brent,Barry,brebar,San Antonio,25,42,Texas
702,Voshon,Lenard,voslen,Denver,33,33,Colorado
703,Kurt,Thomas,kurtho,San Antonio,44,0,Texas
711,Jerry,Stackhouse,jersta,Dallas,22,12,Texas
713,Chris,Carr,chrcar,Cleveland,17,12,Ohio
714,Michael,Finley,micfin,Dallas,26,38,Texas
722,Corliss,Williamson,corwil,Sacramento,43,43,California
724,Cory,Alexander,corale,Charlotte,15,20,North Carolina
727,Eric,Snow,erisno,Philadelphia,17,17,Pennsylvania
739,Rasheed,Wallace,raswal,Detroit,40,53,Michigan
754,Jim,Jackson,jimjac,Phoenix,43,56,Arizona
757,Damon,Stoudamire,damsto,Portland,41,27,Oregon
762,Shawn,Bradley,shabra,Dallas,34,50,Texas
763,Tony,Massenburg,tonmas,San Antonio,37,60,Texas
779,Glen,Rice,gleric,Los Angeles,34,0,California
788,Kevin,Willis,kevwil,Atlanta,15,60,Georgia
813,Bernie,Bickerstaff,berbic,Charlotte,18,0,North Carolina
891,Charles,Oakley,chaoak,Houston,25,50,Texas
902,Bimbo,Coles,bimcol,Miami,17,50,Florida
905,Dale,Davis,daldav,Portland,19,50,Oregon
916,Corie,Blount,corblo,Chicago,40,50,Illinois
923,Donyell,Marshall,donmar,Cleveland,22,57,Ohio
924,Anthony,Goldwire,antgol,Detroit,42,67,Michigan
934,Derrick,Coleman,dercol,Philadelphia,22,67,Pennsylvania
935,Bryon,Russell,bryrus,Los Angeles,27,80,California
937,Scottie,Pippen,scopip,Chicago,29,50,Illinois
947,Allen,Iverson,allive,Philadelphia,35,43,Pennsylvania
948,Marcus,Camby,marcam,Denver,25,62,Colorado
949,Shareef,Abdur-Rahim,shaabd,Atlanta,37,43,Georgia
950,Stephon,Marbury,stemar,New York,28,23,New York
951,Ray,Allen,rayall,Boston,16,88,Massachusetts
952,Antoine,Walker,antwal,Boston,42,57,Massachusetts
953,Lorenzen,Wright,lorwri,Memphis,26,46,Tennessee
955,Samaki,Walker,samwal,Washington,35,33,District of Columbia
958,Vitaly,Potapenko,vitpot,Seattle,30,60,Washington
959,Steve,Nash,stenas,Dallas,34,38,Texas
960,Tony,Delk,tondel,Atlanta,35,55,Georgia
961,John,Wallace,johwal,Miami,17,75,Florida
962,Walter,McCarty,walmcc,Phoenix,40,33,Arizona
965,Derek,Fisher,derfis,Los Angeles,19,29,California
966,Jerome,Williams,jerwil,New York,42,100,New York
969,Travis,Knight,trakni,New York,23,0,New York
970,Othella,Harrington,othhar,Chicago,42,30,Illinois
974,Joseph,Blair,josbla,Chicago,28,0,Illinois
977,Kobe,Bryant,kobbry,Los Angeles,27,36,California
978,Peja,Stojakovic,pejsto,Sacramento,15,47,California
979,Jermaine,O'Neal,jero'n,Indiana,40,36,Pennsylvania
980,Zydrunas,Ilgauskas,zydilg,Miami,16,0,Florida
983,Moochie,Norris,moonor,New York,14,0,New York
987,Jason,Sasser,jassas,Dallas,44,83,Texas
990,Malik,Rose,malros,New York,35,50,New York
998,Mark,Pope,marpop,Denver,13,100,Colorado
1000,Shandon,Anderson,shaand,Miami,38,40,Florida
1032,Darvin,Ham,darham,Detroit,27,40,Michigan
1038,Juaquin,Hawkins,juahaw,Milwaukee,24,20,Wisconsin
1043,Amal,McCaskill,amamcc,Philadelphia,18,67,Pennsylvania
1049,Shane,Heal,shahea,San Antonio,23,0,Texas
1065,Erick,Strickland,eristr,Milwaukee,14,100,Wisconsin
1088,Chucky,Atkins,chuatk,Los Angeles,30,42,California
1110,Mark,Strickland,marstr,Atlanta,38,0,Georgia
1112,Ben,Wallace,benwal,Cleveland,19,83,Ohio
1165,Luis,Grillo,luigri,Orlando,17,0,Florida
1185,Violet,Palmer,viopal,Memphis,33,0,Tennessee
1297,Jeff,Van,jefvan,Houston,25,0,Texas
1442,Zeljko,Rebraca,zelreb,Los Angeles,37,80,California
1444,Lawrence,Funderburke,lawfun,Sacramento,22,0,California
1477,Bruce,Bowen,brubow,San Antonio,38,43,Texas
1495,Tim,Duncan,timdun,San Antonio,27,65,Texas
1496,Keith,Van,keivan,Milwaukee,27,100,Wisconsin
1497,Chauncey,Billups,chabil,Detroit,16,42,Michigan
1498,Antonio,Daniels,antdan,Seattle,28,50,Washington
1499,Tony,Battie,tonbat,Orlando,17,17,Florida
1501,Tim,Thomas,timtho,Los Angeles,21,47,California
1502,Adonal,Foyle,adofoy,Orlando,27,100,Florida
1503,Tracy,McGrady,tramcg,Houston,35,0,Texas
1504,Danny,Fortson,danfor,Seattle,19,33,Washington
1505,Tariq,Abdul-Wahad,tarabd,Dallas,34,20,Texas
1506,Austin,Croshere,auscro,Dallas,44,17,Texas
1507,Derek,Anderson,derand,Charlotte,36,71,North Carolina
1508,Maurice,Taylor,mautay,New York,27,33,New York
1509,Kelvin,Cato,kelcat,Houston,18,22,Texas
1513,Scot,Pollard,scopol,Indiana,28,50,Pennsylvania
1515,Anthony,Parker,antpar,Toronto,27,55,Ohio
1517,Bobby,Jackson,bobjac,New Orleans,27,25,Louisiana
1520,Charles,Smith,chasmi,Portland,43,50,Oregon
1531,Marc,Jackson,marjac,Philadelphia,33,25,Pennsylvania
1533,Anthony,Johnson,antjoh,Indiana,42,22,Pennsylvania
1536,Stephen,Jackson,stejac,Atlanta,17,32,Georgia
1541,Alvin,Williams,alvwil,Toronto,37,33,Ohio
1542,Predrag,Drobnjak,predro,Atlanta,40,0,Georgia
1544,Chris,Crawford,chrcra,Atlanta,33,45,Georgia
1548,Mark,Blount,marblo,Boston,35,30,Massachusetts
1559,Adrian,Griffin,adrgri,Dallas,36,25,Texas
1563,Kevin,Ollie,kevoll,Cleveland,14,33,Ohio
1565,Michael,Stewart,micste,Boston,15,100,Massachusetts
1585,Brandon,Williams,brawil,Milwaukee,23,33,Wisconsin
1594,Rick,Brunson,ricbru,Los Angeles,36,38,California
1636,Ike,Nwankwo,ikenwa,Los Angeles,32,0,California
1654,Scott,Skiles,scoski,Chicago,40,0,Illinois
1709,Michael,Olowokandi,micolo,Boston,29,0,Massachusetts
1710,Mike,Bibby,mikbib,Sacramento,32,56,California
1711,Raef,LaFrentz,raelaf,Portland,33,67,Oregon
1712,Antawn,Jamison,antjam,Washington,15,59,District of Columbia
1714,Robert,Traylor,robtra,New Orleans,21,33,Louisiana
1715,Jason,Williams,jaswil,Memphis,33,29,Tennessee
1716,Larry,Hughes,larhug,Cleveland,39,38,Ohio
1717,Dirk,Nowitzki,dirnow,Dallas,43,30,Texas
1719,Bonzi,Wells,bonwel,Memphis,37,40,Tennessee
1720,Michael,Doleac,micdol,New York,34,58,New York
1724,Bryce,Drew,brydre,New Orleans,17,33,Louisiana
1725,Rasho,Nesterovic,rasnes,Indiana,22,46,Pennsylvania
1727,Pat,Garrity,patgar,Orlando,31,25,Florida
1729,Ricky,Davis,ricdav,Boston,36,55,Massachusetts
1730,Brian,Skinner,briski,Sacramento,33,67,California
1731,Tyronn,Lue,tyrlue,Orlando,44,14,Florida
1732,Felipe,Lopez,fellop,Orlando,41,25,Florida
1733,Al,Harrington,alhar,Indiana,28,56,Pennsylvania
1735,Vladimir,Stepania,vlaste,Portland,40,0,Oregon
1737,Nazr,Mohammed,nazmoh,Detroit,34,50,Michigan
1738,Ansu,Sesay,ansses,Seattle,36,67,Washington
1739,Ruben,Patterson,rubpat,Denver,18,57,Colorado
1740,Rashard,Lewis,raslew,Seattle,34,46,Washington
1741,Jelani,McCoy,jelmcc,Atlanta,17,0,Georgia
1742,Shammond,Williams,shawil,Orlando,18,38,Florida
1743,Bruno,Sundov,brusun,Cleveland,27,0,Ohio
1744,Jerome,James,jerjam,Seattle,31,100,Washington
1747,Rafer,Alston,rafals,Miami,24,38,Florida
1749,Cuttino,Mobley,cutmob,Houston,16,36,Texas
1751,Jahidi,White,jahwhi,Charlotte,15,0,North Carolina
1752,Sean,Marks,seamar,Phoenix,41,55,Arizona
1760,Derrick,Dial,derdia,Orlando,43,50,Florida
1761,Greg,Buckner,grebuc,Dallas,33,73,Texas
1762,Tremaine,Fowlkes,trefow,Los Angeles,34,50,California
1763,Ryan,Bowen,ryabow,Houston,30,17,Texas
1765,Torraye,Braggs,torbra,Houston,14,50,Texas
1766,Maceo,Baston,macbas,Indiana,19,100,Pennsylvania
1800,Damon,Jones,damjon,Miami,31,75,Florida
1802,Brad,Miller,bramil,Sacramento,14,40,California
1844,Fred,Vinson,frevin,Los Angeles,19,50,California
1853,Anthony,Carter,antcar,Denver,38,80,Colorado
1863,Earl,Boykins,earboy,Denver,22,75,Colorado
1882,Elton,Brand,eltbra,Los Angeles,43,50,California
1883,Steve,Francis,stefra,Orlando,19,20,Florida
1885,Lamar,Odom,lamodo,Los Angeles,38,88,California
1886,Jonathan,Bender,jonben,Indiana,13,100,Pennsylvania
1888,Richard,Hamilton,richam,Detroit,25,46,Michigan
1889,Andre,Miller,andmil,Portland,40,36,Oregon
1890,Shawn,Marion,shamar,Cleveland,34,25,Ohio
1891,Jason,Terry,jaster,Dallas,18,41,Texas
1892,Trajan,Langdon,tralan,Los Angeles,37,100,California
1894,Corey,Maggette,cormag,Los Angeles,40,27,California
1897,Metta,World,metwor,Sacramento,19,20,California
1899,James,Posey,jampos,Indiana,18,20,Pennsylvania
1901,Dion,Glover,dioglo,San Antonio,20,0,Texas
1902,Jeff,Foster,jeffos,Indiana,44,0,Pennsylvania
1903,Kenny,Thomas,kentho,Philadelphia,26,56,Pennsylvania
1904,Devean,George,devgeo,Los Angeles,35,0,California
1908,Jumaine,Jones,jumjon,Phoenix,35,56,Arizona
1910,Leon,Smith,leosmi,Seattle,39,50,Washington
1916,Calvin,Booth,calboo,Seattle,13,100,Washington
1917,Wang,Zhi-zhi,wanzhi,Miami,18,67,Florida
1918,Obinna,Ekezie,obieke,Atlanta,20,29,Georgia
1919,Laron,Profit,larpro,Washington,40,40,District of Columbia
1921,Gordan,Giricek,gorgir,Orlando,24,29,Florida
1922,Francisco,Elson,fraels,Denver,33,33,Colorado
1924,Lee,Nailon,leenai,Atlanta,22,43,Georgia
1929,Galen,Young,galyou,Seattle,28,33,Washington
1938,Manu,Ginobili,mangin,San Antonio,34,38,Texas
1944,Eddie,Robinson,eddrob,Chicago,26,50,Illinois
1956,Ira,Newble,iranew,Cleveland,29,47,Ohio
1960,Milt,Palacio,milpal,Toronto,44,29,Ohio
1967,Derek,Hood,derhoo,Dallas,44,0,Texas
1969,Peter,Cornell,petcor,Houston,20,80,Texas
1983,Jermaine,Jackson,jerjac,New York,28,50,New York
1985,Zendon,Hamilton,zenham,Philadelphia,20,67,Pennsylvania
2030,Kenyon,Martin,kenmar,Denver,23,44,Colorado
2031,Stromile,Swift,strswi,Memphis,23,33,Tennessee
2032,Darius,Miles,darmil,Memphis,21,67,Tennessee
2033,Marcus,Fizer,marfiz,Milwaukee,26,100,Wisconsin
2034,Mike,Miller,mikmil,Memphis,13,50,Tennessee
2035,DerMarr,Johnson,derjoh,Denver,33,25,Colorado
2036,Chris,Mihm,chrmih,Boston,33,62,Massachusetts
2037,Jamal,Crawford,jamcra,New York,33,42,New York
2038,Joel,Przybilla,joeprz,Portland,33,62,Oregon
2039,Keyon,Dooling,keydoo,Orlando,18,67,Florida
2040,Jerome,Moiso,jermoi,Toronto,39,20,Ohio
2041,Etan,Thomas,etatho,Washington,36,0,District of Columbia
2042,Courtney,Alexander,couale,New Orleans,32,36,Louisiana
2043,Mateen,Cleaves,matcle,Seattle,44,100,Washington
2044,Jason,Collier,jascol,Atlanta,34,75,Georgia
2045,Hedo,Turkoglu,hedtur,Orlando,15,27,Florida
2046,Desmond,Mason,desmas,Milwaukee,42,42,Wisconsin
2047,Quentin,Richardson,queric,Phoenix,21,33,Arizona
2048,Jamaal,Magloire,jammag,Milwaukee,34,43,Wisconsin
2049,Speedy,Claxton,specla,Atlanta,37,0,Georgia
2050,Morris,Peterson,morpet,Oklahoma City,23,46,Oklahoma
2051,Donnell,Harvey,donhar,Orlando,22,43,Florida
2054,Jake,Tsakalidis,jaktsa,Memphis,31,33,Tennessee
2056,Primoz,Brezec,pribre,Charlotte,31,0,North Carolina
2059,Eduardo,Najera,edunaj,Charlotte,39,40,North Carolina
2062,A.J.,Guyton,a.jguy,Detroit,42,0,Michigan
2063,Jake,Voskuhl,jakvos,Toronto,35,50,Ohio
2067,Eddie,House,eddhou,Phoenix,41,38,Arizona
2072,Michael,Redd,micred,Phoenix,23,38,Arizona
2079,Kaniel,Dickens,kandic,Dallas,30,0,Texas
2091,Daniel,Santiago,dansan,Milwaukee,18,75,Wisconsin
2098,Slava,Medvedenko,slamed,Los Angeles,15,60,California
2109,Eddie,Gill,eddgil,Indiana,13,43,Pennsylvania
2111,Jimmie,Hunter,jimhun,Indiana,39,50,Pennsylvania
2135,Nick,Sheppard,nicshe,Phoenix,35,100,Arizona
2136,Jameel,Watkins,jamwat,Charlotte,28,0,North Carolina
2137,Ime,Udoka,imeudo,San Antonio,34,20,Texas
2148,Mark,Ayotte,marayo,Memphis,21,0,Tennessee
2198,Kwame,Brown,kwabro,Washington,25,9,District of Columbia
2199,Tyson,Chandler,tyscha,Chicago,18,80,Illinois
2200,Pau,Gasol,paugas,Los Angeles,18,36,California
2201,Eddy,Curry,eddcur,Chicago,24,75,Illinois
2202,Jason,Richardson,jasric,Philadelphia,14,54,Pennsylvania
2203,Shane,Battier,shabat,Memphis,26,36,Tennessee
2205,DeSagana,Diop,desdio,Dallas,39,50,Texas
2207,Joe,Johnson,joejoh,Brooklyn,34,50,New York
2208,Kedrick,Brown,kedbro,Boston,18,75,Massachusetts
2209,Vladimir,Radmanovic,vlarad,Los Angeles,31,12,California
2210,Richard,Jefferson,ricjef,San Antonio,41,33,Texas
2212,Steven,Hunter,stehun,Memphis,41,100,Tennessee
2214,Michael,Bradley,micbra,Philadelphia,26,33,Pennsylvania
2215,Jason,Collins,jascol,Washington,15,0,District of Columbia
2216,Zach,Randolph,zacran,Portland,23,50,Oregon
2217,Brendan,Haywood,brehay,Dallas,16,50,Texas
2222,Gerald,Wallace,gerwal,Charlotte,35,60,North Carolina
2223,Samuel,Dalembert,samdal,Dallas,25,67,Texas
2224,Jamaal,Tinsley,jamtin,Indiana,19,42,Pennsylvania
2225,Tony,Parker,tonpar,San Antonio,24,65,Texas
2226,Will,Solomon,wilsol,Sacramento,17,20,California
2228,Alton,Ford,altfor,Houston,39,100,Texas
2229,Mike,James,mikjam,Houston,26,25,Texas
2230,Maurice,Evans,maueva,Los Angeles,27,58,California
2239,Trenton,Hassell,trehas,Dallas,15,33,Texas
2240,Gilbert,Arenas,gilare,Washington,32,27,District of Columbia
2241,Omar,Cook,omacoo,Portland,34,100,Oregon
2242,Terence,Morris,termor,Orlando,23,50,Florida
2243,Brian,Scalabrine,brisca,Chicago,43,50,Illinois
2244,Jeff,Trepagnier,jeftre,Denver,34,50,Colorado
2245,Damone,Brown,dambro,Indiana,44,33,Pennsylvania
2248,Earl,Watson,earwat,Memphis,40,0,Tennessee
2249,Jamison,Brewer,jambre,Indiana,14,0,Pennsylvania
2250,Bobby,Simmons,bobsim,Los Angeles,34,44,California
2251,Eric,Chenowith,eriche,Denver,13,0,Colorado
2254,Loren,Woods,lorwoo,Toronto,22,43,Ohio
2256,Ken,Johnson,kenjoh,Orlando,30,0,Florida
2257,Ruben,Boumtje-Boumtje,rubbou,Orlando,40,100,Florida
2271,Robb,Dryden,robdry,Philadelphia,18,0,Pennsylvania
2294,Charlie,Bell,chabel,Milwaukee,19,50,Wisconsin
2306,Carlos,Arroyo,cararr,Detroit,41,38,Michigan
2343,Joe,Crispin,joecri,Miami,34,0,Florida
2347,Tang,Hamilton,tanham,Detroit,32,50,Michigan
2357,Tierre,Brown,tiebro,Los Angeles,37,25,California
2365,Chris,Andersen,chrand,Miami,37,33,Florida
2366,Mike,Wilks,mikwil,Cleveland,33,0,Ohio
2367,Geno,Carlisle,gencar,Portland,17,0,Oregon
2370,Mengke,Bateer,menbat,Toronto,18,0,Ohio
2386,Kimani,Ffriend,kimffr,Los Angeles,34,100,California
2397,Yao,Ming,yaomin,Houston,29,33,Texas
2399,Mike,Dunleavy,mikdun,Milwaukee,29,71,Wisconsin
2400,Drew,Gooden,dregoo,Cleveland,39,75,Ohio
2402,Dajuan,Wagner,dajwag,Cleveland,29,0,Ohio
2403,Nene,,nenen,Denver,28,100,Colorado
2404,Chris,Wilcox,chrwil,Los Angeles,18,56,California
2405,Amar'e,Stoudemire,amasto,Phoenix,32,42,Arizona
2406,Caron,Butler,carbut,Los Angeles,30,17,California
2407,Jared,Jeffries,jarjef,Washington,42,50,District of Columbia
2408,Melvin,Ely,melely,New Orleans,14,40,Louisiana
2409,Marcus,Haislip,marhai,San Antonio,19,33,Texas
2410,Fred,Jones,frejon,Toronto,25,86,Ohio
2411,Bostjan,Nachbar,bosnac,Houston,38,67,Texas
2412,Jiri,Welsch,jirwel,Cleveland,13,0,Ohio
2413,Juan,Dixon,juadix,Atlanta,34,40,Georgia
2414,Curtis,Borchardt,curbor,Boston,37,0,Massachusetts
2415,Ryan,Humphrey,ryahum,Memphis,37,0,Tennessee
2416,Kareem,Rush,karrus,Indiana,29,46,Pennsylvania
2417,Qyntel,Woods,qynwoo,New York,16,57,New York
2418,Casey,Jacobsen,casjac,Phoenix,16,67,Arizona
2419,Tayshaun,Prince,taypri,Detroit,40,69,Michigan
2421,Frank,Williams,frawil,New York,38,25,New York
2422,John,Salmons,johsal,Philadelphia,41,42,Pennsylvania
2423,Chris,Jefferies,chrjef,Chicago,38,0,Illinois
2424,Dan,Dickau,dandic,New Orleans,19,33,Louisiana
2425,Robert,Archibald,robarc,Phoenix,44,0,Arizona
2427,Roger,Mason,rogmas,San Antonio,14,30,Texas
2429,Dan,Gadzuric,dangad,Milwaukee,44,100,Wisconsin
2431,David,Andersen,davand,Houston,26,60,Texas
2434,Juan,Carlos,juacar,Memphis,33,36,Tennessee
2435,Mario,Kasun,markas,Orlando,39,50,Florida
2436,Flip,Murray,flimur,Cleveland,28,33,Ohio
2437,Lonny,Baxter,lonbax,Houston,44,0,Texas
2438,Jason,Jennings,jasjen,Portland,31,0,Oregon
2439,Sam,Clancy,samcla,Portland,18,100,Oregon
2441,Jamal,Sampson,jamsam,Dallas,34,100,Texas
2443,Darius,Songaila,darson,Washington,39,29,District of Columbia
2446,Rasual,Butler,rasbut,Los Angeles,30,38,California
2449,Luis,Scola,luisco,Houston,19,47,Texas
2450,Randy,Holcomb,ranhol,Chicago,20,50,Illinois
2451,Corsley,Edwards,coredw,New Orleans,31,25,Louisiana
2452,J.R.,Bremer,j.rbre,Cleveland,24,86,Ohio
2454,Junior,Harrington,junhar,New Orleans,40,69,Louisiana
2456,Cezary,Trybanski,ceztry,Phoenix,32,0,Arizona
2466,Maurice,Carter,maucar,New Orleans,20,100,Louisiana
2469,Pat,Burke,patbur,Phoenix,37,50,Arizona
2470,Smush,Parker,smupar,Los Angeles,16,56,California
2486,Maurice,Baker,maubak,Los Angeles,43,0,California
2501,Reggie,Evans,regeva,Seattle,43,50,Washington
2544,LeBron,James,lebjam,Miami,44,64,Florida
2545,Darko,Milicic,darmil,Memphis,32,33,Tennessee
2546,Carmelo,Anthony,carant,New York,44,53,New York
2547,Chris,Bosh,chrbos,Miami,21,47,Florida
2548,Dwyane,Wade,dwywad,Miami,42,60,Florida
2549,Chris,Kaman,chrkam,Los Angeles,22,47,California
2550,Kirk,Hinrich,kirhin,Chicago,17,27,Illinois
2551,T.J.,Ford,t.jfor,Indiana,18,22,Pennsylvania
2552,Michael,Sweetney,micswe,New York,34,0,New York
2554,Mickael,Pietrus,micpie,Boston,35,33,Massachusetts
2555,Nick,Collison,niccol,Seattle,42,50,Washington
2558,Reece,Gaines,reegai,Milwaukee,15,33,Wisconsin
2559,Troy,Bell,trobel,Memphis,43,50,Tennessee
2561,David,West,davwes,New Orleans,31,53,Louisiana
2562,Sasha,Pavlovic,saspav,Cleveland,15,50,Ohio
2563,Dahntay,Jones,dahjon,Dallas,24,100,Texas
2564,Boris,Diaw,bordia,San Antonio,35,46,Texas
2567,Brian,Cook,bricoo,Los Angeles,35,54,California
2568,Carlos,Delfino,cardel,Milwaukee,29,44,Wisconsin
2569,Ndudi,Ebi,nduebi,Dallas,18,33,Texas
2570,Kendrick,Perkins,kenper,Boston,39,38,Massachusetts
2571,Leandro,Barbosa,leabar,Toronto,24,67,Ohio
2572,Josh,Howard,joshow,Dallas,27,67,Texas
2573,Maciej,Lampe,maclam,Phoenix,28,67,Arizona
2574,Jason,Kapono,jaskap,Los Angeles,29,0,California
2575,Luke,Walton,lukwal,Los Angeles,26,36,California
2580,Travis,Hansen,trahan,Atlanta,27,0,Georgia
2581,Steve,Blake,stebla,Detroit,36,50,Michigan
2582,Slavko,Vranes,slavra,Portland,14,0,Oregon
2584,Willie,Green,wilgre,Philadelphia,38,17,Pennsylvania
2585,Zaza,Pachulia,zazpac,Dallas,22,57,Texas
2586,Keith,Bogans,keibog,Chicago,32,43,Illinois
2587,Malick,Badiane,malbad,Memphis,41,0,Tennessee
2588,Matt,Bonner,matbon,San Antonio,26,46,Texas
2590,Mo,Williams,mowil,Cleveland,41,35,Ohio
2591,James,Lang,jamlan,Washington,32,0,District of Columbia
2592,James,Jones,jamjon,Miami,32,33,Florida
2594,Kyle,Korver,kylkor,Philadelphia,34,21,Pennsylvania
2596,Tommy,Smith,tomsmi,Chicago,32,50,Illinois
2599,Brandon,Hunter,brahun,Orlando,17,50,Florida
2601,Andreas,Glyniadakis,andgly,Atlanta,29,100,Georgia
2602,Jerome,Beasley,jerbea,Miami,36,50,Florida
2604,Theron,Smith,thesmi,Charlotte,13,67,North Carolina
2605,Marquis,Daniels,mardan,Dallas,27,80,Texas
2606,Carl,English,careng,Indiana,17,0,Pennsylvania
2617,Udonis,Haslem,udohas,Miami,37,20,Florida
2618,Marcus,Hatten,marhat,Denver,29,0,Colorado
2624,Quinton,Ross,quiros,Los Angeles,29,57,California
2629,Jon,Stefansson,jonste,Dallas,35,14,Texas
2632,Kirk,Penney,kirpen,Los Angeles,20,0,California
2636,Justin,Hamilton,jusham,Detroit,18,0,Michigan
2637,Alex,Scales,alesca,San Antonio,16,0,Texas
2639,Britton,Johnsen,brijoh,New Orleans,37,0,Louisiana
2644,Rick,Apodaca,ricapo,Orlando,13,0,Florida
2646,Kris,Lang,krilan,San Antonio,23,100,Texas
2648,Ronald,Dupree,rondup,Cleveland,13,50,Ohio
2652,Shelton,Jones,shejon,Memphis,25,50,Tennessee
2657,Yuta,Tabuse,yuttab,Los Angeles,42,0,California
2660,Richard,Jeter,ricjet,Memphis,23,0,Tennessee
2667,Desmond,Penigar,despen,Orlando,36,67,Florida
2668,Josh,Davis,josdav,Philadelphia,34,38,Pennsylvania
2669,Linton,Johnson,linjoh,Charlotte,15,0,North Carolina
2672,Ronald,Blackshear,ronbla,New York,31,0,New York
2679,Matt,Carroll,matcar,Charlotte,27,100,North Carolina
2682,Alex,Garcia,alegar,New Orleans,32,60,Louisiana
2683,David,Jackson,davjac,Portland,44,25,Oregon
2684,Melvin,Sanders,melsan,San Antonio,36,100,Texas
2688,Brandin,Knight,brakni,Houston,13,0,Texas
2696,Lynn,Greer,lyngre,Milwaukee,16,56,Wisconsin
2697,Antonio,Meeking,antmee,Charlotte,39,60,North Carolina
2724,Desmond,Ferguson,desfer,Portland,26,25,Oregon
2730,Dwight,Howard,dwihow,Los Angeles,28,67,California
